3219272,AB015316.1
3219270,AB015315.1
510682,X71364.1
3219268,AB015314.1
397134746,JN584215.1
3859485,AF067792.1
1255447,D50468.1
3219266,AB015313.1
450234,U05238.1
1374771,D63787.1
2352083,U96613.1
2243115,X98873.1
4204911,U58918.1
2257742,U62020.1
1575321,U59759.1
1216483,U48779.1
7330784,AF204677.1
215276405,FJ439676.1
3641833,AJ007312.1
3399696,AB010914.1
2342426,AB000799.1
2342424,AB000798.1
2342422,AB000797.1
2342420,AB000796.1
13537199,AB046871.1
13537197,AB046870.1
13537195,AB046869.1
4049631,AF039406.1
16506692,AY057897.1
145712830,EF193512.1
145712828,EF193511.1
145712826,EF193510.1
145712824,EF193509.1
145712822,EF193508.1
145712820,EF193507.1
145712818,EF193506.1
145712816,EF193505.1
145712814,EF193504.1
145712812,EF193503.1
145712810,EF193502.1
145712808,EF193501.1
145712806,EF193500.1
145712804,EF193499.1
145712802,EF193498.1
7861797,AF204676.1
7861794,AF204675.1
3093479,AF017640.1
3063660,AF058391.1
91807057,DQ447086.1
91805804,DQ446261.1
27524888,AJ292319.1
2253009,Y14199.1
11990429,AB044970.1
2723387,AB004796.1
373220655,HQ141412.2
1314710,U54615.1
1022804,U37701.1
1022802,U37700.1
3493130,AF081570.1
166849,M84660.1
166847,M84659.1
166845,M84658.1
325656781,HQ825315.1
7839388,AF247558.1
42602160,AY531551.1
166783,M59198.1
34978957,AY376441.1
30314021,AY234854.1
24111258,AF404865.2
4883989,AF141853.1
4008011,AF084037.1
4008007,AF084035.1
4008005,AF084034.1
3169309,AF017641.1
2829274,AF044265.1
2160755,U96879.1
2121274,AF000147.1
224589568,FJ708723.1
224589508,FJ708693.1
91806376,DQ446633.1
91805896,DQ446313.1
77378021,DQ185389.1
21407140,AY088366.1
7839392,AF247560.1
3550261,AF079587.1
257352209,HB717326.1
257286659,HB651372.1
219799279,FB781313.1
219756219,FB847267.1
219756215,FB847263.1
13275211,AJ297937.1
217828,D12522.1
9967774,Y16255.1
16397,X69376.1
217848,D10850.1
16395,X69373.1
4826398,AJ012423.1
3228218,AJ006871.1
15147866,AB047275.1
15147864,AB047274.1
3218549,AB009399.1
20521156,AB074116.1
4127460,AJ011674.1
700257364,KM399656.1
549532777,KF363639.1
549532775,KF363638.1
549532773,KF363637.1
549532771,KF363636.1
549532769,KF363635.1
549532767,KF363634.1
549532765,KF363633.1
549532763,KF363632.1
549532761,KF363631.1
549532759,KF363630.1
549532757,KF363629.1
549532755,KF363628.1
549532753,KF363627.1
549532751,KF363626.1
549532749,KF363625.1
549532747,KF363624.1
549532745,KF363623.1
549532743,KF363622.1
549532741,KF363621.1
549532739,KF363620.1
549532737,KF363619.1
549532735,KF363618.1
549532733,KF363617.1
549532731,KF363616.1
549532729,KF363615.1
549532727,KF363614.1
549532725,KF363613.1
549532723,KF363612.1
549532721,KF363611.1
549532719,KF363610.1
549532717,KF363609.1
549532715,KF363608.1
549532713,KF363607.1
549532711,KF363606.1
549532709,KF363605.1
549532707,KF363604.1
549532705,KF363603.1
549532703,KF363602.1
549532701,KF363601.1
549532699,KF363600.1
549532697,KF363599.1
549532695,KF363598.1
549532693,KF363597.1
549532691,KF363596.1
549532689,KF363595.1
549532687,KF363594.1
549532685,KF363593.1
549532683,KF363592.1
549532681,KF363591.1
549532679,KF363590.1
549532677,KF363589.1
549532675,KF363588.1
549532673,KF363587.1
549532671,KF363586.1
549532669,KF363585.1
549532667,KF363584.1
549532665,KF363583.1
549532663,KF363582.1
549532661,KF363581.1
549532659,KF363580.1
549532657,KF363579.1
549532655,KF363578.1
549532653,KF363577.1
549532651,KF363576.1
549532649,KF363575.1
549532647,KF363574.1
549532645,KF363573.1
549532643,KF363572.1
549532641,KF363571.1
549532639,KF363570.1
549532637,KF363569.1
549532635,KF363568.1
549532633,KF363567.1
549532631,KF363566.1
549532629,KF363565.1
549532627,KF363564.1
549532625,KF363563.1
549532623,KF363562.1
549532621,KF363561.1
549532619,KF363560.1
549532617,KF363559.1
549532615,KF363558.1
549532613,KF363557.1
549532611,KF363556.1
549532609,KF363555.1
549532607,KF363554.1
549532605,KF363553.1
549532603,KF363552.1
549532601,KF363551.1
549532599,KF363550.1
549532597,KF363549.1
549532595,KF363548.1
549532593,KF363547.1
549532591,KF363546.1
549532589,KF363545.1
442557140,KC207414.1
